cab_type,vendor_id,pickup_datetime,dropoff_datetime,rate_code_id,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,congestion_surcharge,total_amount,payment_type,trip_type,pickup_location_id,dropoff_location_id
yellow,VTS,2018-01-01T00:01:20.000000Z,2018-01-01T00:06:46.000000Z,Standard rate,,,,,1,1.49,6.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,7.8,Cash,na,113,231
yellow,VTS,2018-01-01T00:01:22.000000Z,2018-01-01T00:34:25.000000Z,JFK,,,,,1,27.94,52.0,0.0,0.5,14.64,5.76,0.0,0.3,0.0,73.2,Card,na,132,50
yellow,VTS,2018-01-01T00:01:22.000000Z,2018-01-01T00:09:07.000000Z,Standard rate,,,,,1,1.68,8.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,9.3,Cash,na,239,24
yellow,VTS,2018-01-01T00:01:22.000000Z,2018-01-01T00:02:35.000000Z,Standard rate,,,,,1,0.470000000000,3.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,4.8,Cash,na,74,75
yellow,VTS,2018-01-01T00:01:22.000000Z,2018-01-01T00:05:17.000000Z,Standard rate,,,,,2,0.8,5.0,0.5,0.5,1.58,0.0,0.0,0.3,0.0,7.88,Card,na,263,237
yellow,VTS,2018-01-01T00:01:24.000000Z,2018-01-01T00:08:31.000000Z,Standard rate,,,,,1,0.99,6.5,0.5,0.5,1.56,0.0,0.0,0.3,0.0,9.36,Card,na,114,249
yellow,CMT,2018-01-01T00:01:24.000000Z,2018-01-01T00:05:35.000000Z,Standard rate,,,,,1,0.6,5.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,6.3,Card,na,237,43
yellow,VTS,2018-01-01T00:01:25.000000Z,2018-01-01T00:17:04.000000Z,Standard rate,,,,,5,3.030000000000,12.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,13.8,Cash,na,142,170
yellow,CMT,2018-01-01T00:01:25.000000Z,2018-01-01T00:21:39.000000Z,Standard rate,,,,,1,2.6,14.0,0.5,0.5,3.0,0.0,0.0,0.3,0.0,18.3,Card,na,137,158
yellow,CMT,2018-01-01T00:01:26.000000Z,2018-01-01T00:09:18.000000Z,Standard rate,,,,,1,1.0,6.5,0.5,0.5,1.3,0.0,0.0,0.3,0.0,9.1,Card,na,264,264
yellow,CMT,2018-01-01T00:01:26.000000Z,2018-01-01T00:06:56.000000Z,Standard rate,,,,,2,2.7,9.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,10.8,Cash,na,50,238
yellow,VTS,2018-01-01T00:01:28.000000Z,2018-01-01T00:20:13.000000Z,Standard rate,,,,,1,5.96,19.5,0.5,0.5,0.0,0.0,0.0,0.3,0.0,20.8,Cash,na,229,88
